Function;Use;Sharing;Reporting;Student_Type;Position_Type;Object_Type;Pre_K;Operating_Status;Object_Description;Text_2;SubFund_Description;Job_Title_Description;Text_3;Text_4;Sub_Object_Description;Location_Description;FTE;Function_Description;Facility_or_Department;Position_Extra;Total;Program_Description;Fund_Description;Text_1
Recruitment;ISPD;Shared Services;Non-School;Unspecified;Substitute;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;ADDITIONAL/EXTRA DUTY PAY/STIP;HUMAN RESOURCES RECRUITMENT;DISTRICT SPECIAL REVENUE FUNDS;Teacher, Short Term Sub ;nan;nan;nan;HUMAN RESOURCES;nan;NEW TEACHER RECRUITMENT;nan;PROFESSIONAL-INSTRUCTIONAL;38.23672;SUPPORT SERVICES-INSTRUCTIONAL;nan;INSTRUCTIONAL STAFF
Curriculum Development;ISPD;School Reported;School;Unspecified;Non-Position;Other Non-Compensation;Non PreK;PreK-12 Operating;Other Objects;nan;Support Services - Instructional Staff;nan;nan;nan;Other Objects;nan;nan;Instruction And Curriculum Development Services *;nan;nan;854.94;nan;Special Trust;UNION MILES DEV
Aides Compensation;Instruction;School Reported;School;Unspecified;TA;Benefits;NO_LABEL;PreK-12 Operating;RETIREMENT CONTRIB.;nan;GENERAL FUND;General Assignment ;nan;nan;nan;nan;nan;EMPLOYEE RETIREMENT;nan;UNDESIGNATED;131.96;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Professional Development;ISPD;Leadership & Management;Non-School;Unspecified;Instructional Coach;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;WORKSHOP PARTICIPANT          ;nan;nan;CURRICULUM RESOURCE TEACHER   ;nan;nan;nan;CHIEF ACADEMIC OFFICER        ;nan;INST STAFF TRAINING SVCS      ;USING DATA HUMAN CAPITAL DECIS;nan;105.69;nan;ARRA - RACE TO THE TOP        ;RACE TO THE TOP               
Aides Compensation;Instruction;School Reported;School;Special Education;TA;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;nan;GENERAL EDUCATION;LOCAL;EDUCATIONAL AIDE,SPED,70H;nan;nan;nan;nan;1.0;nan;nan;nan;32406.745913700004;nan;nan;nan
Substitute Compensation;Instruction;School Reported;School;Unspecified;Substitute;Substitute Compensation;Non PreK;PreK-12 Operating;Personal Services - Substitute Teachers Certified;nan;nan;nan;nan;Regular Instruction;nan;nan;0.0;nan;nan;SUBSTITUTE TEACHER;2904.71;Instruction - Regular;General Purpose School;nan
Aides Compensation;Instruction;School Reported;School;Special Education;TA;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;nan;SPECIAL EDUCATION INSTRUCTION;LOCAL;EDUCATIONAL AIDE,SPED,70H;nan;nan;nan;nan;1.0;nan;nan;nan;33176.1268672;nan;nan;nan
Teacher Compensation;Instruction;School Reported;School;Unspecified;Teacher;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;nan;GENERAL FUND;Teacher, Secondary (High) ;Turnaround;nan;nan;nan;1.01632885316;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;46284.951941;GENERAL HIGH SCHOOL EDUCATION;nan;REGULAR INSTRUCTION
Human Resources;Business Services;Leadership & Management;Non-School;Unspecified;Coordinator/Manager;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;EMPLOYEE BENEFITS;GENERAL FUND;Manager, Benefits/WC ;nan;nan;nan;EMPLOYEE BENEFITS;1.0000245518000002;EMPLOYEE BENEFITS;nan;ADMINISTRATOR;89416.3405734;STAFF SERVICES;nan;CENTRAL
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Salaries And Wages For Teachers And Other Professi;nan;Title Iii Part A - Lep;TEACHER, REGULAR;nan;nan;Extended Year;Summer School;nan;Instruction;Instruction And Curriculum;TEACHER MASTER;1353.01503786;Bilingual Education And Special Language Programs;Title Iii Part A - Lep;EXTENDED YEAR
Instructional Materials & Supplies;Instruction;School Reported;School;PreK;Non-Position;Supplies/Materials;PreK;PreK-12 Operating;GENERAL SUPPLIES;nan;DISTRICT SPECIAL REVENUE FUNDS;(blank);Regular;nan;nan;nan;nan;TUITION BASED - ECE;nan;UNDESIGNATED;2530.61;EARLY CHILDHOOD;nan;REGULAR INSTRUCTION
Social & Emotional;Pupil Services & Enrichment;School on Central Budgets;Non-School;Unspecified;Social Worker;Benefits;NO_LABEL;PreK-12 Operating;CONTRA BENEFITS;nan;GENERAL FUND;Social Worker ;nan;nan;nan;SOCIAL WORK SERVICES;nan;NON-PROJECT;nan;UNDESIGNATED;-791.9100000000003;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Facilities & Maintenance;NO_LABEL;School Reported;School;NO_LABEL;Custodian;NO_LABEL;NO_LABEL;PreK-12 Operating;nan;nan;nan;Building Custodian I;nan;nan;nan;nan;0.5;nan;nan;BUILDING CUSTODIAN ;18171.255;Misc;General Fund;nan
Security & Safety;O&M;Shared Services;Non-School;Unspecified;School Monitor/Security;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;SAFETY AND SECURITY;GENERAL FUND;Security Resource Spec ;nan;nan;nan;SAFETY AND SECURITY;nan;SAFETY & SECURITY;nan;PROFESSIONAL-OTHER;797.6899999999997;SECURITY SERVICES;nan;OPERATION AND MAINT OF PLANT
Governance;Leadership;Leadership & Management;Non-School;Unspecified;NO_LABEL;Equipment & Equipment Lease;NO_LABEL;PreK-12 Operating;NON-CAPITALIZED COMPUTER HARDW;nan;nan;nan;nan;nan;nan;SUPERINTENDENT                ;nan;ADMIN TECHNOLOGY SVCS         ;nan;nan;314.0800000000001;nan;GENERAL FUND                  ;COMPUTER REPAIR/REPL          
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Other Professional and Technical Services;nan;Support Services - Instructional Staff;nan;nan;nan;Professional And Technical Services *;nan;nan;Instruction And Curriculum Development Services *;nan;nan;-3250.13;nan;Special Trust;ITEMS-VARIOUS GRANTS
Parent & Community Relations;Pupil Services & Enrichment;School Reported;School;Unspecified;Other;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;nan;FEDERAL GDPG FUND;Community School Child Care ;Regular;nan;nan;nan;0.147720054446; CNTRY COMMTY LRNG - ;nan;PARAPROFESSIONAL;2984.5676719000007;GENERAL ELEMENTARY EDUCATION;nan;REGULAR INSTRUCTION
Professional Development;NO_LABEL;School Reported;School;NO_LABEL;NO_LABEL;Equipment & Equipment Lease;NO_LABEL;PreK-12 Operating;PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COMPUTE;nan;PROGRAM IMPROVEMENT INSTR;nan;nan;nan;nan;nan;nan;IMPROVEMENT OF INSTR SERV;nan;nan;-47.18;Vocational  Grant-Program Improvement.;Vocational Education-Federal Funded;nan
Professional Development;ISPD;Shared Services;Non-School;Unspecified;Vice Principal;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;WORKSHOP PARTICIPANT          ;nan;nan;ASSISTANT PRINCIPAL I-HIGH    ;nan;nan;nan;CHIEF ACADEMIC OFFICER        ;nan;INST STAFF TRAINING SVCS      ;USING DATA HUMAN CAPITAL DECIS;nan;105.16;nan;ARRA - RACE TO THE TOP        ;RACE TO THE TOP               
Teacher Compensation;Instruction;School Reported;School;Unspecified;Teacher;Base Salary/Compensation;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Operations;TEACHER, REGULAR;nan;Basic Educational Services - District Objective ;Salaries And Wages For Teachers And Other Professi;School ;0.89;Instruction;All Campus Payroll;TEACHER BACHELOR;51274.7574256;Basic Educational Services;General Operating Fund;REGULAR PAY
Curriculum Development;ISPD;Leadership & Management;Non-School;Gifted;Sec/Clerk/Other Admin;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;GIFTED AND TALENTED;GENERAL FUND;Secretary II ;nan;nan;nan;GIFTED AND TALENTED;nan;STATE - GIFTED AND TALENTED;nan;OFFICE/ADMINISTRATIVE SUPPORT;42.81;SUPPORT SERVICES-INSTRUCTIONAL;nan;INSTRUCTIONAL STAFF
Utilities;O&M;Leadership & Management;Non-School;Unspecified;NO_LABEL;Rent/Utilities;NO_LABEL;PreK-12 Operating;DEDICATED DATA LINE           ;nan;nan;nan;nan;nan;nan;VOCATIONAL EDUCATION          ;nan;OPERATION OF PLANT            ;NETWORK OPS                   ;nan;27.06;nan;GENERAL FUND                  ;nan
Finance, Budget, Purchasing & Distribution;Business Services;Leadership & Management;Non-School;Unspecified;Other;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;SALARIES FOR OVERTIME;TUITION BILLING & AMD-FS;DISTRICT SPECIAL REVENUE FUNDS;Temporary Employee ;nan;nan;nan;REGISTRAR;nan;REGISTRAR;nan;OFFICE/ADMINISTRATIVE SUPPORT;11.427999999999999;SUPPORT SERVICES - STUDENTS;nan;STUDENTS
Library & Media;Instruction;School Reported;School;Unspecified;Librarian;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;OTHER CERTIFIED               ;nan;nan;LIBRARY/MEDIA SPECIALIST-MID  ;nan;nan;nan;School ;1.0;INSTRUCTIONAL MEDIA SERVICES  ;nan;nan;52048.7210867;nan;GENERAL FUND                  ;nan
Human Resources;Business Services;Shared Services;Non-School;Unspecified;Other;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;PERSONNEL SERVICES;GENERAL FUND;Human Resources Generalist ;nan;nan;nan;HUMAN RESOURCES;nan;NON-PROJECT;nan;PROFESSIONAL-OTHER;3016.40744;STAFF SERVICES;nan;CENTRAL
Enrichment;Pupil Services & Enrichment;Shared Services;Non-School;Unspecified;Other;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Extra Duty Pay/Overtime For Support Personnel;nan;Operations;TRANSPORTATION, AIDE,REGULAR;nan;nan;Extra Duty Pay/Overtime For Support Personnel;Unallocated;nan;Extracurricular Activities;Transportation Department;BUS DRIVER AIDE;10.68;Undistributed;General Operating Fund;WAITING TIME
School Supervision;Leadership;Leadership & Management;Non-School;Unspecified;TA;Benefits;NO_LABEL;PreK-12 Operating;RETIREMENT CONTRIB.;nan;GENERAL FUND;General Assignment ;nan;nan;nan;ES TEAM ;nan;EMPLOYEE RETIREMENT;nan;UNDESIGNATED;67.94;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Professional Development;ISPD;School Reported;School;Unspecified;NO_LABEL;Travel & Conferences;Non PreK;PreK-12 Operating;Travel And Subsistence - Employee Only;nan;nan;nan;nan;Undistributed;Travel And Subsistence - Employee Only;School ;nan;Curriculum Development And Instructional Staff Dev;nan;nan;199.88;Undistributed;General Operating Fund;nan
Extended Time & Tutoring;Instruction;School Reported;School;Poverty;Teacher;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Title  Part A Improving Basic Programs;TEACHER, REGULAR;nan;nan;Extended Day;School ;nan;Instruction;Instruction And Curriculum;TEACHER BACHELOR;105.491491127;Title I, Part A Schoolwide Activities Related To State Comp;Title  Part A Improving Basic Programs;EXTENDED DAYS
School Administration;Leadership;School Reported;School;Poverty;Coordinator/Manager;Base Salary/Compensation;Non PreK;PreK-12 Operating;Regular *;ADM/PROF;Support Services--Pupils;BARRIER BREAKER;nan;nan;nan;CHIEF ACADEMIC OFFICER;0.125;Direction of Support Services - Pupils *;nan;nan;9531.10109801;nan;Title  School Improvement Stimulus G;SCHOOL IMPROVEMENT,G
Enrichment;Pupil Services & Enrichment;School on Central Budgets;Non-School;Unspecified;TA;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;nan;AFTERSCHOOL PROGRAMS;SUMMER ED, ARTS & SPORTS - SEAS;Aide (Afterschool);nan;nan;nan;OFC COM & ED PROG-AFTER SCHOOL AIDES;0.025;nan;nan;nan;780.39;nan;nan;nan
Substitute Compensation;Instruction;School Reported;School;Poverty;Substitute;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;TEACHER LEARNING & LEADERSHIP;ARRA - STIMULUS;Teacher, Short Term Sub ;Turnaround;nan;nan;nan;nan;TITLE I A - ARRA;nan;PROFESSIONAL-INSTRUCTIONAL;8.67;INSTRUCTIONAL STAFF TRAINING;nan;INSTRUCTIONAL STAFF
School Administration;Leadership;School Reported;School;Unspecified;Principal;Base Salary/Compensation;Non PreK;PreK-12 Operating;Personal Services - Principals;nan;nan;PRINCIPAL - ELEMENTARY;nan;Office of Principal;nan;nan;1.0;nan;nan;PRINCIPAL;95675.74;Principal's Office;General Purpose School;nan
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Classroom Supplies;nan;Support Services - Administration;nan;nan;nan;General Supplies *;nan;nan;State and Federal Projects Coordination Services*;nan;nan;11002.03;nan;Title I - Disadvantaged Children/Targeted Assistance;ESEA TITLE I
Student Transportation;O&M;Shared Services;Non-School;Unspecified;Other;Base Salary/Compensation;Non PreK;PreK-12 Operating;Salaries Or Wages For Support Personnel;nan;Operations;TEACHER, VOCATIONAL EDUCATION;nan;transportation - aides;Temporary / Part-Time Support Personnel;Unallocated;0.01;Transportation;Transportation Department;BUS DRIVER;812.216854591;Undistributed;General Operating Fund;REGULAR PAY
Food Services;O&M;Shared Services;School;Unspecified;Non-Position;Contracted Services;Non PreK;PreK-12 Operating;Food Services - Maintenance - Contracted Services;nan;nan;nan;nan;nan;nan;nan;0.0;nan;nan;nan;13610.86;Food Services;Central Cafeteria;nan
Facilities Planning;Business Services;Leadership & Management;Non-School;Unspecified;NO_LABEL;Travel & Conferences;NO_LABEL;PreK-12 Operating;OUT OF COUNTY TRAVEL          ;nan;nan;nan;nan;nan;nan;GROWTH                        ;nan;PLANNING,RES,DEV,& EVAL       ;nan;nan;1548.05;nan;GENERAL FUND                  ;GROWTH                        
Curriculum Development;ISPD;School Reported;School;Unspecified;Non-Position;Contracted Services;Non PreK;PreK-12 Operating;Printing and Binding;nan;Support Services - Instructional Staff;nan;nan;nan;Contracted Craft Or Trade Services *;nan;nan;Instruction And Curriculum Development Services *;nan;nan;-22.86;nan;Special Trust; HIST SOC-CONG ACAD
Career & Academic Counseling;Pupil Services & Enrichment;Leadership & Management;Non-School;Unspecified;Sec/Clerk/Other Admin;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;OTHER SUPPORT PERSONNEL       ;nan;nan;SECRETARY II                  ;nan;nan;nan;STUDENT SERVICES              ;0.0698590519247;GUIDANCE SERVICES             ;nan;nan;3465.4553274000004;nan;GENERAL FUND                  ;nan
Physical Health & Services;Pupil Services & Enrichment;School Reported;School;Unspecified;Nurse;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;nan;GENERAL FUND;Nurse ;Alternative;nan;nan;nan;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;41.88;NURSING SERVICES;nan;STUDENTS
Career & Academic Counseling;Pupil Services & Enrichment;School Reported;School;Unspecified;Guidance Counselor;Base Salary/Compensation;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Operations;COUNSELOR, REGULAR;nan;Undistributed;Salaries And Wages For Teachers And Other Professi;School ;0.65;Guidance, Counseling And Evaluation Services;All Campus Payroll;COUNSELOR HIGH SCHOOL;48634.541451;Undistributed;General Operating Fund;REGULAR PAY
School Administration;Leadership;School Reported;School;Unspecified;Vice Principal;Base Salary/Compensation;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Operations;SCHOOL PRINCIPAL;nan;Undistributed;Salaries And Wages For Teachers And Other Professi;School ;0.92;School Leadership;All Campus Payroll;ELEM/INTER ASST PRINCIPAL;64064.966414;Undistributed;General Operating Fund;REGULAR PAY
Physical Health & Services;NO_LABEL;School Reported;School;NO_LABEL;Nurse Aide;NO_LABEL;NO_LABEL;PreK-12 Operating;nan;nan;nan;Clinic Assistant;nan;nan;nan;nan;1.0;nan;nan;CLINIC ASSISTANT ;31901.72;NURSES;General Fund;nan
School Administration;Leadership;School Reported;School;Unspecified;Non-Position;Supplies/Materials;Non PreK;PreK-12 Operating;Office Supplies;nan;Support Services - Administration;nan;nan;nan;General Supplies *;nan;nan;Office of the Principal Services*;nan;nan;2800.14;nan;General;SCHOOL BASED MANAGEMENT
Communications;Leadership;Leadership & Management;Non-School;ELL;Other;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;MULTILINGUAL OUTREACH;GENERAL FUND;SFPC Liaison Specialist ;nan;nan;nan;MULTILINGUAL OUTREACH;nan;STATE ELPA (ENG LANG PROF ACT);nan;PROFESSIONAL-OTHER;349.91048;PUBLIC COMMUNICATIONS SERVICES;nan;CENTRAL
Food Services;O&M;Shared Services;School;Unspecified;Other;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Extra Duty Pay/Overtime For Support Personnel;nan;Child Nutrition;CAFETERIA EMPLOYEE, FOOD SERV.;nan;Undistributed;Extra Duty Pay/Overtime For Support Personnel;School ;nan;Food Services (Child Nutrition Fund Only);Child Nutrition;ELEM MGR AVG SIZE  ;1088.87;Undistributed;National School Breakfast And Lunch Program;ADDL REGULAR PAY-NOT SMOOTHED
Physical Health & Services;Pupil Services & Enrichment;School on Central Budgets;Non-School;Unspecified;Nurse;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;SCHOOL NURSE SERVICES;GENERAL FUND;Nurse ;nan;nan;nan;SCHOOL NURSE SERVICES;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;2.43;NURSING SERVICES;nan;STUDENTS
Aides Compensation;Instruction;School Reported;School;Unspecified;TA;Base Salary/Compensation;PreK;PreK-12 Operating;nan;EARLY CHILDHOOD EDUCATION;LOCAL;EDUCATIONAL AIDE,70 HRS.;nan;nan;nan;nan;0.875;nan;nan;nan;33068.648265599986;nan;nan;nan
Facilities & Maintenance;NO_LABEL;School Reported;School;NO_LABEL;NO_LABEL;Supplies/Materials;NO_LABEL;PreK-12 Operating;SUPPLIES;nan;MISCELLANEOUS;nan;nan;nan;nan;nan;nan;MAINTENANCE AND OPERATING;nan;nan;30.37;Misc;General Fund;nan
Data Processing & Information Services;Business Services;School on Central Budgets;Non-School;Unspecified;Other;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;ITEMGG-CUSTOMER RELATIONS MGMT;GENERAL FUND;Specialist III, PC App ;nan;nan;nan;CUSTOMER RELATIONS MANAGEMENT;nan;NON-PROJECT;nan;PROFESSIONAL-OTHER;1325.28936;INFORMATION SYSTEMS SERVICES;nan;CENTRAL
Social & Emotional;Pupil Services & Enrichment;School on Central Budgets;Non-School;Unspecified;Social Worker;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;PSYCHOLOGICAL SERVICES;GENERAL FUND;Social Worker ;nan;nan;nan;SOCIAL WORK SERVICES;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;1756.14;SOCIAL WORK SERVICES;nan;STUDENTS
Enrichment;Pupil Services & Enrichment;Leadership & Management;Non-School;Unspecified;Other;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;ATHLETICS;PUPIL ACTIVITY FUND;Misc Fee Basis ;nan;nan;nan;ATHLETICS & STUDENT ACTIVITIES;nan;NON-PROJECT;nan;OFFICE/ADMINISTRATIVE SUPPORT;1.0;MALE ATHLETICS/SPORTS ACTIVITI;nan;COCURRICULAR ED/ACTIVITIES
Aides Compensation;Instruction;School Reported;School;Special Education;TA;Benefits;NO_LABEL;PreK-12 Operating;RETIREMENT CONTRIB.;nan;GENERAL FUND;Secondary Spec Ed Para ;nan;nan;nan;nan;nan;EMPLOYEE RETIREMENT;nan;UNDESIGNATED;246.41;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Social & Emotional;Pupil Services & Enrichment;School Reported;School;Special Education;Social Worker;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;nan;SPECIAL EDUCATION INSTRUCTION;LOCAL;Social Worker;nan;nan;nan;nan;1.0;nan;nan;nan;106207.80005;nan;nan;nan
Professional Development;ISPD;School Reported;School;Special Education;NO_LABEL;Supplies/Materials;Non PreK;PreK-12 Operating;General Supplies;SUPPLIES & MATERIALS;nan;nan;nan;Printers for teachers and therapists;Capital Supplies ( Unit Cost  and > ;School ;nan;Instructional Leadership;Instruction And Curriculum;nan;341.27;Services To Students With Disabilities (Special Education);Idea Part B Formula;nan
Instructional Materials & Supplies;Instruction;School Reported;School;Unspecified;NO_LABEL;Supplies/Materials;NO_LABEL;PreK-12 Operating;SUPPLIES                      ;nan;nan;TEACHER, THIRD                ;nan;nan;nan;School ;nan;BASIC (FEFP K-12)             ;nan;nan;183.68;nan;GENERAL FUND                  ;TEACHER LEAD                  
Aides Compensation;Instruction;School Reported;School;Special Education;TA;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;MILD MODERATE;GENERAL FUND;nan;Regular;nan;nan;nan;0.00873015873016;SPECIAL ED. - MILD/MODERATE;nan;PARAPROFESSIONAL;223.264531447;SPECIAL EDUCATION;nan;SPECIAL EDUCATION
Insurance;Business Services;Leadership & Management;Non-School;Unspecified;NO_LABEL;Rent/Utilities;NO_LABEL;PreK-12 Operating;RENTALS                       ;nan;nan;nan;nan;nan;nan;RISK MANAGEMENT               ;nan;STAFF SERVICES                ;nan;nan;566.91;nan;GENERAL FUND                  ;RISK MANAGEMENT               
School Administration;Leadership;School Reported;School;Unspecified;Coordinator/Manager;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;nan;SCHOOL ADMINISTRATIVE SUPPORT;LOCAL;BUSINESS MANAGER;nan;nan;nan;nan;1.0;nan;nan;nan;63103.62703220001;nan;nan;nan
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Repairs and Maintenance Services;nan;Operation and Maintenance of Plant Services;nan;nan;nan;Property Services (Other Than Utilities) *;nan;nan;Care and Upkeep of Equipment and Furniture Services;nan;nan;1249.32;nan;Miscellaneous Federal Grants;GOALS 
Governance;Leadership;Leadership & Management;Non-School;Unspecified;(Exec) Director;Base Salary/Compensation;Non PreK;PreK-12 Operating;Regular *;ADM/PROF;Fiscal Services;CHIEF FIN & ADM OFFICER;nan;nan;nan;TREASURY DEPARTMENT;1.0;Office of the Treasurer;nan;nan;251896.81450799998;nan;General;ADMINISTRATION
Facilities & Maintenance;O&M;Shared Services;Non-School;Unspecified;Other;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;WAREHOUSE;LEVY OVERRIDE;Data Processor II ;nan;nan;nan;WAREHOUSE OPERATIONS;nan;NON-PROJECT;nan;CRAFTS, TRADES, AND SERVICES;906.59496;WAREHOUSE & DISTRIBUTION;nan;BUSINESS
Physical Health & Services;NO_LABEL;School Reported;School;NO_LABEL;Nurse Aide;NO_LABEL;NO_LABEL;PreK-12 Operating;nan;nan;nan;Clinic Assistant;nan;nan;nan;nan;1.0;nan;nan;CLINIC ASSISTANT ;13280.24;NURSES;General Fund;nan
